requirement_id,category,requirement,priority,owning_phases,planned_source,planned_tests,planned_docs,evidence,status,notes
USR-001,user,Clone and audit legacy FoodOrder and destination FoodOrderV1; all final changes go to FoodOrderV1.,mandatory,00|02|16,audit/phase-00-workspace.md,n/a,reports/phases/PHASE_00_report.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-002,user,Revise and complete the Capacitor JavaScript/TypeScript conversion.,mandatory,02|04|06|13,src/** (Capacitor/Vite/React app),npm run validate,audit/foodorderv1-current-state.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-003,user,Revise and complete migration from React Native.,mandatory,02|04|06|08|13,src/** (no react-native remnants),npm run typecheck + build,audit/legacy-foodorder-map.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-004,user,Plan and implement the full product from A to Z based on verified business evidence.,mandatory,03|05|08|09|10,src/pages/** src/services/** src/lib/**,tests/**,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-005,user,"Upgrade package.json and all packages, targeting TypeScript 7.0.2 only after official verification.",mandatory,05|06,package.json package-lock.json,npm run validate,audit/dependency-verification.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,TS 7.0.2 primary + 6.0.2 fallback per audit/dependency-verification.md
USR-006,user,Create and revise every applicable system document.,mandatory,05|14,product/ architecture/ operations/ knowledge/,npm run knowledge:validate,operations/documentation-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-007,user,Apply the attached AI-native Engineering Knowledge and Delivery Operating System.,mandatory,01|05|14,.ai/ scripts/knowledge/,npm run knowledge:validate + benchmark,knowledge/,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-008,user,Copy authorized environment configuration safely without committing secrets.,mandatory,05|06|11,.env (untracked) .env.example src/config/env.ts,trivy secret scan,audit/security-review.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-009,user,Build Android and generate an installable APK.,mandatory,05|13|15|16,android/ (generated) capacitor.config.ts,gradlew assembleDebug,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-010,user,Implement every required feature and eliminate incomplete integrations.,mandatory,03|05|08|09|10,src/pages/** src/services/**,tests/** + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-011,user,Replicate every applicable NextRanger engineering rule in Capacitor-equivalent form.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src structure,npm run lint,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-012,user,"Add unit, component, integration, emulator, E2E, accessibility, visual, performance, and native tests as applicable.",mandatory,05|12,tests/domain tests/services tests/e2e,npm run test:coverage + test:e2e,operations/test-matrix.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-013,user,"Secure and harden the application, repository, CI, Firebase, native shell, and release process.",mandatory,04|06|07|11|12|13|15,firestore.rules .github/workflows android manifest,npm audit + trivy + rules review,audit/security-review.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-014,user,Connect production functionality to Firebase consistently with legacy behavior and improved contracts.,mandatory,02|04|07|08|09,src/services/firebaseServices.ts firestore.rules,tests + manual smoke,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-015,user,"Scan codebase, history, dependencies, configuration, environment handling, and release artifacts for security exposure.",mandatory,02|11|16,worktree + history scan,"trivy fs --scanners vuln,secret,misconfig",audit/security-review.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-016,user,Implement collaborative bucket sharing across users and devices.,mandatory,03|04|09,"src/lib/sharing.ts src/services/*Services.ts src/pages/Bucket{Share,Collaborate}Page.tsx src/pages/JoinBucketPage.tsx",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-017,user,Implement concurrency-safe contribution aggregation for simultaneous updates.,mandatory,04|09|12,src/lib/sharing.ts (applyContributionMutation) firebaseServices.setContribution transaction,tests/domain/sharing.test.ts (concurrency/idempotency),architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-018,user,"Brainstorm, prioritize, plan, and implement justified additional product and engineering improvements.",mandatory,03|05|10,"duplicate bucket, data export, account deletion, guest language toggle",tests + manual,product/feature-backlog.md#additional,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-019,user,"Commit, push, and create a GitHub release containing the APK and checksum.",mandatory,13|15|16,git tag vX + gh release create with APK+sha256,checksum verification,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
USR-020,user,Do not begin coding until the entire prompt has been decomposed and planned with traceability.,mandatory,00|01|02|03|04|05,traceability/requirements.csv reports/phases/,n/a,00-05 phase reports,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-001,nextranger,Architecture map is source of truth — Adapt module-first boundaries to Vite/Capacitor.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-002,nextranger,Presentational components are TSX-only — Render precomputed props; no business logic or data access.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-003,nextranger,No hooks in presentational components — Hooks belong to hooks/containers.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-004,nextranger,No inline declarations — Move unstable values to constants/helpers/variants.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-005,nextranger,No TypeScript enum keyword — Use `as const` objects and derived types.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-006,nextranger,"No magic strings — Centralize routes, keys, paths, events, IDs, and message keys.",mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-007,nextranger,"No raw third-party imports outside wrappers — Create one owner wrapper for Firebase, Capacitor, query, validation, storage, browser, logging, and UI primitives.",mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-008,nextranger,No cross-module deep imports — Import only from module public surfaces.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-009,nextranger,No server state in Zustand — Use query cache for Firebase server state.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-010,nextranger,"No direct browser APIs outside wrappers — Wrap window, document, storage, matchMedia, URL opening, clipboard, and connectivity.",mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-011,nextranger,No raw environment reads — Use validated public/runtime environment modules.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-012,nextranger,No raw user-facing copy — Use English and Arabic message catalogs.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-013,nextranger,"No raw className outside approved design layer — Use tokens, variants, and UI primitives.",mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-014,nextranger,"No any, non-null assertion, TS suppression, or undocumented disable — Enforce strict typing and exception records.",mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-015,nextranger,Query keys from builders — Centralize query and mutation keys.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-016,nextranger,Endpoints and Firebase paths are constants — No ad hoc path assembly.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-017,nextranger,Errors normalize to safe message keys — Never expose raw provider internals to users.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-018,nextranger,Security configuration is baseline — Adapt CSP/headers to hosting and WebView restrictions.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,CSP not applicable to file-served WebView; https scheme + minimal permissions applied (audit/nextranger-rule-inventory.md)
NR-019,nextranger,TDD required — Write failing behavior tests before implementation when practical.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-020,nextranger,All gates pass before handoff — CI verifies rather than discovers preventable failures.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-021,nextranger,Deterministic import ordering — Apply import-x and project groups.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-022,nextranger,Unused imports prohibited — Use lint automation.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-023,nextranger,Promise correctness — No floating or mishandled promises.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
